OID_,OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,Shape_Leng,MAPLABEL,ID,AREASQMI
0,1,LINNTON, ,N,NWNW,HORZ,53244.045538093108917,Linnton,1,3.437779273580000
1,2,FOREST PARK/LINNTON, ,Y,NWNW, ,57723.635350288168411,Forest Park/Linnton,2,6.047967077790000
2,3,FOREST PARK, ,N,NWNW,HORZ,82725.497521893528756,Forest Park,3,12.019404756300000
3,4,CATHEDRAL PARK, ,N,NPNS,HORZ,11434.254777015890795,Cathedral Park,4,1.025826372140000
4,5,UNIVERSITY PARK, ,N,NPNS,HORZ,11950.859826797166534,University Park,5,1.320826322440000
5,6,MC UNCLAIMED #14, ,N,UNCLAIMED,NA,13147.604931775716977,MC Unclaimed #14,6,1.756651765380000
6,7,PIEDMONT,ALBINA,N,NPNS,VERT,10849.327392370187226,Piedmont,7,1.150183441870000
7,8,WOODLAWN,ALBINA,N,NECN,HORZ,8078.360994395455236,Woodlawn,8,0.732368418189000
8,9,CULLY, ,N,CNN,HORZ,18179.392090202025429,Cully,9,3.138288627230000
9,10,ARBOR LODGE,ALBINA,N,NPNS,HORZ,9466.411504404411971,Arbor Lodge,10,0.867944063919000
10,11,OVERLOOK,ALBINA,N,NPNS,HORZ,18919.714232156256912,Overlook,11,3.184558531820000
11,12,CONCORDIA,ALBINA,N,NECN,HORZ,11314.666903260362233,Concordia,12,1.326692654370000
12,13,PARKROSE, ,N,EPCO,HORZ,15199.542307374651500,Parkrose,13,2.009704529280000
13,14,SUMNER, ,N,CNN,HORZ,9778.756639499732046,Sumner,14,0.791034332853000
14,15,ARGAY TERRACE, ,N,EPCO,VERT,13252.062098777281790,Argay Terrace,15,2.053269729030000
15,16,HUMBOLDT,ALBINA,N,NECN,VERT,6880.056734737875558,Humboldt,16,0.549881630551000
16,17,KING,ALBINA,N,NECN,VERT,8903.473020694187653,King,17,0.632472440396000
17,18,VERNON,ALBINA,N,NECN,VERT,5469.126360523991025,Vernon,18,0.297424215539000
18,19,WILKES, ,N,EPCO,HORZ,23475.220521095463482,Wilkes,19,3.070329295690000
19,20,BEAUMONT-WILSHIRE, ,N,CNN,VERT,8571.720794599348665,Beaumont-Wilshire,20,0.721419687508000
20,21,SABIN,ALBINA,N,NECN,HORZ,6059.076459027866804,Sabin,21,0.365317742582000
21,22,ALAMEDA, ,N,NECN,HORZ,8520.792119507259486,Alameda,22,0.490770453142000
22,23,BOISE,ALBINA,N,NECN,HORZ,6659.739773561977927,Boise,23,0.398720952536000
23,24,NORTHWEST HEIGHTS, ,N,NWNW,HORZ,18858.845916545073123,Northwest Heights,24,1.371601909510000
24,25,ROSEWAY, ,N,CNN,HORZ,9124.343371070950525,Roseway,25,0.841896639229000
25,26,MADISON SOUTH, ,N,CNN,HORZ,15428.643109755361365,Madison South,26,1.678106305300000
26,27,ARGAY TERRACE/WILKES, ,Y,EPCO, ,1481.618790510360668,Argay Terrace/Wilkes,27,0.012295938605200
27,28,BOISE/ELIOT, ,Y,NECN, ,2598.509260076199098,Boise/Eliot,28,0.029178547783600
28,29,ELIOT,ALBINA,N,NECN,HORZ,9198.637304473488257,Eliot,29,0.845308066629000
29,30,IRVINGTON,ALBINA,N,NECN,HORZ,8516.428049134754474,Irvington,30,0.650645453087000
30,31,SABIN/IRVINGTON,ALBINA,Y,NECN, ,3258.715460725744379,Sabin/Irvington,31,0.105310373116000
31,32,ALAMEDA/IRVINGTON,ALBINA,Y,NECN, ,3103.729943164533324,Alameda/Irvington,32,0.106091976980000
32,33,ROSE CITY PARK, ,N,CNN,VERT,9985.769278033350929,Rose City Park,33,1.197157501530000
33,34,PARKROSE HEIGHTS, ,N,EPCO,HORZ,8951.877254220669784,Parkrose Heights,34,0.973845210576000
34,35,NORTHWEST DISTRICT, ,N,NWNW,HORZ,18466.100003687723074,Northwest District,35,1.446143361260000
35,36,ALAMEDA/BEAUMONT-WILSHIRE, ,Y,NECN, ,1387.295669558199961,Alameda/Beaumont-Wilshire,36,0.016875355912500
36,37,FOREST PARK/NORTHWEST DISTRICT, ,Y,NWNW, ,1331.047315958142008,Forest Park/Northwest District,37,0.007359562089050
37,38,RUSSELL, ,N,EPCO,HORZ,8549.668255511282041,Russell,38,0.798724813463000
38,39,ROSEWAY/MADISON SOUTH, ,Y,CNN, ,2745.417354174584489,Roseway/Madison South,39,0.079353895952800
39,40,GRANT PARK, ,N,CNN,HORZ,8180.791338096368236,Grant Park,40,0.456384191511000
40,41,MC UNCLAIMED #5, ,N,UNCLAIMED,NA,1742.261748202529589,MC Unclaimed #5,41,0.023260790272700
