OID_,OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Leng,Shape_Area,AREASQMI
0,1,CATHEDRAL PARK, , ,NPNS,HORZ,Cathedral Park,31,11434.254777015894433,5424297.812272151932120,1.025826372140000
1,2,UNIVERSITY PARK, , ,NPNS,HORZ,University Park,88,11950.859826797168353,6981456.790642142295837,1.320826322440000
2,3,PIEDMONT,ALBINA, ,NPNS,VERT,Piedmont,70,10849.327392370187226,6079530.008718987926841,1.150183441870000
3,4,WOODLAWN,ALBINA, ,NECN,HORZ,Woodlawn,93,8078.360994395455236,3870553.613852245267481,0.732368418189000
4,5,CULLY, , ,CNN,HORZ,Cully,23,18179.392090202025429,16580624.669252961874008,3.138288627230000
5,6,ARBOR LODGE,ALBINA, ,NPNS,HORZ,Arbor Lodge,2,9466.411504404411971,4586999.928698739036918,0.867944063919000
6,7,OVERLOOK,ALBINA, ,NPNS,HORZ,Overlook,66,18919.714232156256912,16822517.263765696436167,3.184558531820000
7,8,CONCORDIA,ALBINA, ,NECN,HORZ,Concordia,19,11314.666903260358595,7009777.741158285178244,1.326692654370000
8,9,PARKROSE, , ,EPCO,HORZ,Parkrose,67,15199.542307374649681,10616590.389343537390232,2.009704529280000
9,10,SUMNER, , ,CNN,HORZ,Sumner,84,9778.756639499733865,4179036.213947918731719,0.791034332853000
10,11,HUMBOLDT,ALBINA, ,NECN,VERT,Humboldt,44,6880.056734737875558,2904874.303698461037129,0.549881630551000
11,12,KING,ALBINA, ,NECN,VERT,King,48,8903.473020694189472,3340861.219610199797899,0.632472440396000
12,13,VERNON,ALBINA, ,NECN,VERT,Vernon,89,5469.126360523991025,1571314.823099675588310,0.297424215539000
13,14,NORTHWEST HEIGHTS, , ,NWNW,HORZ,Northwest Heights,63,18858.845916545036744,7240624.587269322015345,1.371601909510000
14,15,ROSE CITY PARK, , ,CNN,VERT,Rose City Park,74,9985.769278033354567,6319333.902567537501454,1.197157501530000
15,16,PARKROSE HEIGHTS, , ,EPCO,HORZ,Parkrose Heights,68,8951.877254220673422,5140902.313849710859358,0.973845210576000
16,17,RUSSELL, , ,EPCO,HORZ,Russell,76,8549.668255511278403,4216286.328949292190373,0.798724813463000
17,18,MC UNCLAIMED #5, , ,UNCLAIMED,NA,MC Unclaimed #5,0,1742.261748202529361,122803.234527203603648,0.023260790272700
18,19,PEARL DISTRICT, , ,NWNW,VERT,Pearl District,69,6505.417726337553177,2350872.680734634865075,0.445492259822000
19,20,WOODLAND PARK, , ,EPCO,VERT,Woodland Park,92,2276.124931912208922,253250.807348851842107,0.047981934028500
20,21,MONTAVILLA,OUTER SE, ,SEUL,VERT,Montavilla,58,15469.085084881604416,11492736.201919585466385,2.178619977980000
21,22,LAURELHURST, , ,SEUL,VERT,Laurelhurst,49,7666.318647232174953,3524160.612075211480260,0.667917759474000
22,23,KERNS, , ,SEUL,HORZ,Kerns,47,12968.455931736212733,4361259.991285671480000,0.826576273691000
