geoid,intptlat,intptlon
410050208001023,45.458218,-122.64992
410050208001002,45.461445,-122.64148
410050208001015,45.455776,-122.64185
410050208001001,45.460693,-122.64038
410050209001014,45.460217,-122.63525
410050210002007,45.458691,-122.61287
410050222081000,45.45937,-122.49165
410050209001016,45.461342,-122.63606
410050210002005,45.460949,-122.61464
410050216011000,45.461346,-122.58099
410050232012003,45.455944,-122.45662
410050216014000,45.461349,-122.58458
410050216014002,45.461327,-122.58748
410050208001000,45.461044,-122.63805
410050210002004,45.461235,-122.61411
410050209001000,45.461128,-122.6179
410050201002001,45.42485,-122.66531
410050201002029,45.423859,-122.6639
410050201002046,45.42366,-122.66241
410050208001045,45.446583,-122.64109
410050201002013,45.427006,-122.67237
410050208001027,45.457443,-122.64806
410050208001044,45.456387,-122.64796
410050208001022,45.456913,-122.64719
410050208001021,45.456257,-122.645
410050208001030,45.453815,-122.64685
410050208001037,45.452538,-122.645
410050208001007,45.459438,-122.64042
410050208001016,45.45845,-122.64075
410050208001003,45.453735,-122.63821
410050208001006,45.459305,-122.63754
410050208001017,45.455589,-122.64075
410050208001018,45.458881,-122.64024
410050208001014,45.451607,-122.64223
410050208001019,45.45118,-122.64369
410050208001013,45.450481,-122.64175
410050208001038,45.448586,-122.64359
410050208001054,45.451653,-122.64129
410050208001004,45.457287,-122.63892
410050208001041,45.447384,-122.64231
410050208001012,45.449032,-122.64075
410050208001039,45.448971,-122.6431
410050208001010,45.45097,-122.63485
410050208001049,45.447327,-122.63615
410050208002007,45.445152,-122.63924
410050208002008,45.445236,-122.64098
410050208001047,45.446728,-122.6387
410050208002011,45.444477,-122.64081
410050208002012,45.44371,-122.64063
410050208002019,45.442947,-122.64044
410050208001046,45.447575,-122.6392
410050208001011,45.448624,-122.64053
410050208001048,45.448475,-122.63754
410050222061000,45.459286,-122.5705
410050222061001,45.457848,-122.57159
410050222062009,45.460388,-122.56626
410050222061002,45.45837,-122.56991
410050222061013,45.459538,-122.5693
410050222062010,45.459885,-122.56733
410050222062011,45.458775,-122.56772
410050222061012,45.457058,-122.56923
410050222061011,45.45607,-122.56919
410050222062029,45.450672,-122.56583
410050222061006,45.444836,-122.57011
410050222062030,45.453156,-122.5621
410050208001031,45.455894,-122.64953
410050222062034,45.45063,-122.55419
410050222061029,45.448784,-122.56047
410050222052000,45.446415,-122.53406
410050222082024,45.450974,-122.53186
410050222082037,45.448792,-122.51876
410050208002020,45.442192,-122.64026
410050208003006,45.441746,-122.63721
410050208002014,45.443607,-122.63781
410050222082032,45.450851,-122.5229
410050208002005,45.445168,-122.63761
410050215001013,45.436817,-122.62
410050208003009,45.439915,-122.63614
410050209002006,45.45686,-122.63136
410050209001013,45.46096,-122.63367
410050209001015,45.459671,-122.63416
410050209001017,45.459591,-122.63328
410050209003005,45.450367,-122.63217
410050209002010,45.453949,-122.63127
410050209003004,45.452496,-122.63123
410050209001012,45.461063,-122.63144
410050209002003,45.458141,-122.63138
410050209002007,45.455406,-122.63131
410050211001004,45.446014,-122.62687
410050209002009,45.454342,-122.62631
410050201001081,45.424488,-122.69208
410050209001020,45.459644,-122.63041
410050209001011,45.459885,-122.62925
410050209001002,45.460781,-122.62008
410050209002004,45.458153,-122.628
410050209002008,45.455353,-122.62484
410050208002004,45.445705,-122.63557
410050208002003,45.445724,-122.63419
410050209003006,45.449116,-122.63049
410050211001016,45.445637,-122.62905
410050208002000,45.445732,-122.62977
410050208002028,45.444611,-122.63
410050208002001,45.44585,-122.63117
410050208002002,45.445805,-122.63287
410050208002015,45.443878,-122.63603
410050208002026,45.444191,-122.63363
410050208003000,45.442795,-122.63148
410050208003003,45.43927,-122.62934
410050208002016,45.445404,-122.63667
410050209003008,45.449757,-122.6254
410050208003005,45.440987,-122.63142
410050209003007,45.449585,-122.62794
410050209003012,45.447102,-122.62862
410050211001002,45.447384,-122.62526
410050208003017,45.442589,-122.63049
410050208003004,45.44101,-122.63041
410050208003001,45.442722,-122.63291
410050208003020,45.441013,-122.62939
410050208003016,45.442348,-122.62948
410050208003013,45.437351,-122.62872
410050208003019,45.44088,-122.62739
410050208003018,45.439308,-122.62732
410050208003022,45.437035,-122.62768
410050222062025,45.45285,-122.55955
410050222062039,45.448696,-122.54637
410050222082012,45.459095,-122.53668
410050222082018,45.45686,-122.52864
410050222082025,45.451557,-122.53606
410050222062012,45.452839,-122.54498
410050222062036,45.445827,-122.54238
410050222082010,45.460732,-122.5293
410050222082009,45.460621,-122.52424
410050222082013,45.459187,-122.52799
410050222082022,45.455723,-122.52431
