OID_,geoid,intptlat,intptlon,NAME,COALIT
1,410050208001023.000000000000000,45.458217620849609,-122.649917602539062,SELLWOOD-MORELAND,SEUL
5,410050209001014.000000000000000,45.460216522216797,-122.635253906250000,ARDENWALD-JOHNSON CREEK,SEUL
8,410050209001016.000000000000000,45.461341857910156,-122.636062622070312,ARDENWALD-JOHNSON CREEK,SEUL
15,410050210002004.000000000000000,45.461235046386719,-122.614105224609375,ARDENWALD-JOHNSON CREEK,SEUL
16,410050209001000.000000000000000,45.461128234863281,-122.617904663085938,ARDENWALD-JOHNSON CREEK/WOODSTOCK,SEUL
22,410050208001027.000000000000000,45.457443237304688,-122.648056030273438,SELLWOOD-MORELAND,SEUL
23,410050208001044.000000000000000,45.456386566162109,-122.647956848144531,SELLWOOD-MORELAND,SEUL
24,410050208001022.000000000000000,45.456912994384766,-122.647186279296875,SELLWOOD-MORELAND,SEUL
54,410050222061000.000000000000000,45.459285736083984,-122.570503234863281,LENTS,EPCO
56,410050222062009.000000000000000,45.460388183593750,-122.566261291503906,LENTS,EPCO
57,410050222061002.000000000000000,45.458370208740234,-122.569908142089844,LENTS,EPCO
58,410050222061013.000000000000000,45.459537506103516,-122.569297790527344,LENTS,EPCO
59,410050222062010.000000000000000,45.459884643554688,-122.567329406738281,LENTS,EPCO
60,410050222062011.000000000000000,45.458774566650391,-122.567718505859375,LENTS,EPCO
66,410050208001031.000000000000000,45.455894470214844,-122.649528503417969,SELLWOOD-MORELAND,SEUL
79,410050209002006.000000000000000,45.456859588623047,-122.631355285644531,ARDENWALD-JOHNSON CREEK,SEUL
80,410050209001013.000000000000000,45.460960388183594,-122.633666992187500,ARDENWALD-JOHNSON CREEK,SEUL
81,410050209001015.000000000000000,45.459671020507812,-122.634162902832031,ARDENWALD-JOHNSON CREEK,SEUL
82,410050209001017.000000000000000,45.459590911865234,-122.633277893066406,ARDENWALD-JOHNSON CREEK,SEUL
83,410050209003005.000000000000000,45.450366973876953,-122.632171630859375,ARDENWALD-JOHNSON CREEK,SEUL
84,410050209002010.000000000000000,45.453948974609375,-122.631271362304688,ARDENWALD-JOHNSON CREEK,SEUL
85,410050209003004.000000000000000,45.452495574951172,-122.631233215332031,ARDENWALD-JOHNSON CREEK,SEUL
86,410050209001012.000000000000000,45.461063385009766,-122.631439208984375,ARDENWALD-JOHNSON CREEK,SEUL
87,410050209002003.000000000000000,45.458141326904297,-122.631378173828125,ARDENWALD-JOHNSON CREEK,SEUL
88,410050209002007.000000000000000,45.455406188964844,-122.631309509277344,ARDENWALD-JOHNSON CREEK,SEUL
89,410050211001004.000000000000000,45.446014404296875,-122.626869201660156,ARDENWALD-JOHNSON CREEK,SEUL
90,410050209002009.000000000000000,45.454341888427734,-122.626312255859375,ARDENWALD-JOHNSON CREEK,SEUL
92,410050209001020.000000000000000,45.459644317626953,-122.630409240722656,ARDENWALD-JOHNSON CREEK,SEUL
93,410050209001011.000000000000000,45.459884643554688,-122.629249572753906,ARDENWALD-JOHNSON CREEK,SEUL
95,410050209002004.000000000000000,45.458152770996094,-122.627998352050781,ARDENWALD-JOHNSON CREEK,SEUL
96,410050209002008.000000000000000,45.455352783203125,-122.624839782714844,ARDENWALD-JOHNSON CREEK,SEUL
99,410050209003006.000000000000000,45.449115753173828,-122.630493164062500,ARDENWALD-JOHNSON CREEK,SEUL
100,410050211001016.000000000000000,45.445636749267578,-122.629051208496094,ARDENWALD-JOHNSON CREEK,SEUL
110,410050209003008.000000000000000,45.449756622314453,-122.625404357910156,ARDENWALD-JOHNSON CREEK,SEUL
112,410050209003007.000000000000000,45.449584960937500,-122.627937316894531,ARDENWALD-JOHNSON CREEK,SEUL
113,410050209003012.000000000000000,45.447101593017578,-122.628616333007812,ARDENWALD-JOHNSON CREEK,SEUL
114,410050211001002.000000000000000,45.447383880615234,-122.625259399414062,ARDENWALD-JOHNSON CREEK,SEUL
126,410050222082012.000000000000000,45.459095001220703,-122.536682128906250,PLEASANT VALLEY,EPCO
146,410050222081005.000000000000000,45.460296630859375,-122.499687194824219,PLEASANT VALLEY,EPCO
148,410050222081004.000000000000000,45.457920074462891,-122.499526977539062,PLEASANT VALLEY,EPCO
152,410050222081009.000000000000000,45.455322265625000,-122.498893737792969,PLEASANT VALLEY,EPCO
168,410050210002002.000000000000000,45.459693908691406,-122.609016418457031,ARDENWALD-JOHNSON CREEK,SEUL
170,410050209003000.000000000000000,45.453872680664062,-122.621192932128906,ARDENWALD-JOHNSON CREEK,SEUL
174,410050209001007.000000000000000,45.459571838378906,-122.622306823730469,ARDENWALD-JOHNSON CREEK,SEUL
176,410050209001024.000000000000000,45.459476470947266,-122.620620727539062,ARDENWALD-JOHNSON CREEK,SEUL
180,410050209003009.000000000000000,45.449756622314453,-122.623535156250000,ARDENWALD-JOHNSON CREEK,SEUL
181,410050209003001.000000000000000,45.452816009521484,-122.622856140136719,ARDENWALD-JOHNSON CREEK,SEUL
324,410050209001009.000000000000000,45.460296630859375,-122.627174377441406,ARDENWALD-JOHNSON CREEK,SEUL
330,410050209001008.000000000000000,45.460540771484375,-122.624496459960938,ARDENWALD-JOHNSON CREEK,SEUL
345,410050201001068.000000000000000,45.432979583740234,-122.701652526855469,ARNOLD CREEK,SWCS
347,410050201001051.000000000000000,45.432968139648438,-122.697769165039062,ARNOLD CREEK,SWCS
349,410050216014005.000000000000000,45.461284637451172,-122.593322753906250,BRENTWOOD-DARLINGTON,SEUL
361,410050208001028.000000000000000,45.455986022949219,-122.651321411132812,SELLWOOD-MORELAND,SEUL
363,410050208001024.000000000000000,45.456748962402344,-122.652267456054688,SELLWOOD-MORELAND,SEUL
364,410050208001025.000000000000000,45.457210540771484,-122.651397705078125,SELLWOOD-MORELAND,SEUL
365,410050208001026.000000000000000,45.457603454589844,-122.649734497070312,SELLWOOD-MORELAND,SEUL
393,410050209001004.000000000000000,45.461120605468750,-122.623283386230469,ARDENWALD-JOHNSON CREEK,SEUL
397,410050222082000.000000000000000,45.460857391357422,-122.514747619628906,PLEASANT VALLEY,EPCO
