OID_,GEOID,INTPTLAT,INTPTLON,COUNT,SUM_SQ_FT
1,410510032001001,+45.5621179,-122.6423718,22.000000000000000,24316.000000000000000
2,410510036022055,+45.5651722,-122.6384085,18.000000000000000,18233.000000000000000
3,410510005012005,+45.4811528,-122.5931653,19.000000000000000,21518.000000000000000
4,410510057002023,+45.5098263,-122.6795305,5.000000000000000,16923.000000000000000
5,410510067021008,+45.4769740,-122.7065725,13.000000000000000,84751.000000000000000
6,410510046012022,+45.5153741,-122.7178461,1.000000000000000,1156.000000000000000
7,410510032001008,+45.5609534,-122.6492113,18.000000000000000,22261.000000000000000
8,410510031001022,+45.5609184,-122.6396463,12.000000000000000,13423.000000000000000
9,410510058005010,+45.4909019,-122.7088048,7.000000000000000,10787.000000000000000
10,410510056003003,+45.5111458,-122.6846267,1.000000000000000,40068.000000000000000
11,410510073001204,+45.5626535,-122.5571540,40.000000000000000,279230.000000000000000
12,410510089011023,+45.4746514,-122.5075713,11.000000000000000,18184.000000000000000
13,410510039014031,+45.5815853,-122.7142930,12.000000000000000,15315.000000000000000
14,410050208002030,+45.4418076,-122.6264397,10.000000000000000,49922.000000000000000
15,410510014004011,+45.5063438,-122.6120765,25.000000000000000,37512.000000000000000
16,410510034013005,+45.5574410,-122.6692544,10.000000000000000,8765.000000000000000
17,410510025014005,+45.5412815,-122.6447630,28.000000000000000,31837.000000000000000
18,410510067021015,+45.4771528,-122.7018118,11.000000000000000,17818.000000000000000
19,410510062001009,+45.4652862,-122.6809952,22.000000000000000,44713.000000000000000
20,410510097011002,+45.5182773,-122.5022877,22.000000000000000,39461.000000000000000
21,410050216013017,+45.4515048,-122.5964347,27.000000000000000,27013.000000000000000
22,410510077001017,+45.5598126,-122.5684595,12.000000000000000,11940.000000000000000
23,410510031002024,+45.5569990,-122.6386640,17.000000000000000,15451.000000000000000
24,410510040024069,+45.5780187,-122.7286920,5.000000000000000,9299.000000000000000
25,410510085002010,+45.4861883,-122.5511751,57.000000000000000,86536.000000000000000
26,410510037011016,+45.5775829,-122.6623474,15.000000000000000,24489.000000000000000
27,410510080011020,+45.5450378,-122.5495458,48.000000000000000,70603.000000000000000
28,410510036022005,+45.5698142,-122.6405455,10.000000000000000,12146.000000000000000
29,410510061002018,+45.4790359,-122.6982748,24.000000000000000,27146.000000000000000
30,410510086002012,+45.4641735,-122.5854905,28.000000000000000,31248.000000000000000
31,410050210001033,+45.4528902,-122.6024669,3.000000000000000,4582.000000000000000
32,410510011011028,+45.5175721,-122.6571917,3.000000000000000,34142.000000000000000
33,410510073001245,+45.5685716,-122.5620702,9.000000000000000,1853.000000000000000
34,410519800001113,+45.5432225,-122.6809197,2.000000000000000,5068.000000000000000
35,410510010003075,+45.5016786,-122.6510947,1.000000000000000,8032.000000000000000
36,410510017023007,+45.5221478,-122.5724572,22.000000000000000,21156.000000000000000
37,410510018011023,+45.5277655,-122.6007621,20.000000000000000,25077.000000000000000
38,410510073001009,+45.5917741,-122.6266078,105.000000000000000,1887951.000000000000000
39,410510071001066,+45.6225352,-122.8515552,123.000000000000000,322516.000000000000000
40,410510005011019,+45.4824407,-122.5900490,10.000000000000000,9501.000000000000000
41,410510028022020,+45.5343371,-122.6029064,13.000000000000000,13432.000000000000000
42,410050210001023,+45.4513228,-122.5999161,84.000000000000000,133912.000000000000000
43,410510061002000,+45.4828818,-122.6915845,19.000000000000000,38811.000000000000000
44,410050222061028,+45.4461376,-122.5598348,97.000000000000000,221969.000000000000000
45,410510008014003,+45.5037175,-122.6215185,23.000000000000000,34978.000000000000000
46,410510037022011,+45.5657955,-122.6676975,16.000000000000000,16539.000000000000000
47,410050211001009,+45.4455513,-122.6208342,25.000000000000000,27932.000000000000000
48,410510016013015,+45.5072685,-122.5861678,45.000000000000000,79089.000000000000000
49,410510010005020,+45.4968909,-122.6563893,15.000000000000000,19570.000000000000000
50,410050201001029,+45.4321441,-122.6584066,7.000000000000000,25034.000000000000000
51,410510037014006,+45.5823894,-122.6727824,3.000000000000000,28868.000000000000000
52,410510036021008,+45.5709326,-122.6333187,61.000000000000000,184407.000000000000000
53,410510068021022,+45.4934791,-122.7228825,18.000000000000000,58845.000000000000000
54,410510016021014,+45.5181497,-122.5702391,12.000000000000000,11393.000000000000000
55,410510006014001,+45.4892618,-122.5750900,40.000000000000000,53608.000000000000000
56,410050208002007,+45.4451521,-122.6392340,2.000000000000000,19843.000000000000000
57,410510007014006,+45.5036016,-122.5965450,25.000000000000000,30353.000000000000000
58,410050215001014,+45.4401550,-122.6227944,9.000000000000000,82158.000000000000000
59,410510059001002,+45.4956638,-122.6698633,19.000000000000000,600245.000000000000000
60,410510036023016,+45.5674783,-122.6440176,30.000000000000000,26592.000000000000000
61,410050222082028,+45.4535517,-122.5166866,15.000000000000000,30734.000000000000000
62,410510004023004,+45.4802905,-122.6080342,6.000000000000000,7047.000000000000000
63,410510070002036,+45.5523382,-122.7679408,3.000000000000000,6090.000000000000000
64,410510036021050,+45.5651850,-122.6330605,17.000000000000000,15754.000000000000000
65,410510037011004,+45.5798606,-122.6645021,1.000000000000000,511.000000000000000
66,410510037023032,+45.5632993,-122.6704558,7.000000000000000,14833.000000000000000
67,410510039011001,+45.5861723,-122.6932623,44.000000000000000,55911.000000000000000
68,410050216014015,+45.4604435,-122.5981211,19.000000000000000,23685.000000000000000
69,410510073001129,+45.5750096,-122.5963756,2.000000000000000,14412.000000000000000
70,410510073001182,+45.5664631,-122.5753526,8.000000000000000,335282.000000000000000
71,410510059001057,+45.4997212,-122.6772250,7.000000000000000,9631.000000000000000
72,410510016012017,+45.5112014,-122.5861267,18.000000000000000,21865.000000000000000
73,410050222082033,+45.4513714,-122.5257225,43.000000000000000,87214.000000000000000
74,410510059001074,+45.4990947,-122.6794344,11.000000000000000,18254.000000000000000
75,410510046011020,+45.5284753,-122.7034340,11.000000000000000,37390.000000000000000
76,410510005013010,+45.4811586,-122.5957204,20.000000000000000,21386.000000000000000
77,410510036021034,+45.5665871,-122.6311875,5.000000000000000,8965.000000000000000
78,410510106001034,+45.5203298,-122.6761661,3.000000000000000,37109.000000000000000
79,410510106003053,+45.5173857,-122.6765917,3.000000000000000,38024.000000000000000
80,410050208001025,+45.4572093,-122.6514000,7.000000000000000,11536.000000000000000
81,410510066021018,+45.4673033,-122.6963038,18.000000000000000,23155.000000000000000
82,410510015003004,+45.5159868,-122.6119004,19.000000000000000,39289.000000000000000
83,410510058004019,+45.4912277,-122.6982956,9.000000000000000,24907.000000000000000
84,410510016015019,+45.5140570,-122.5883065,12.000000000000000,21232.000000000000000
85,410510031002019,+45.5583655,-122.6406835,16.000000000000000,15400.000000000000000
86,410510060021009,+45.4739731,-122.6819577,16.000000000000000,26731.000000000000000
87,410510074002014,+45.5630288,-122.6137829,6.000000000000000,10656.000000000000000
88,410510076002013,+45.5585804,-122.5977339,7.000000000000000,14040.000000000000000
89,410050222081042,+45.4473501,-122.4875928,18.000000000000000,46871.000000000000000
90,410510011021062,+45.5090031,-122.6542033,12.000000000000000,18595.000000000000000
91,410510036022013,+45.5686736,-122.6400123,5.000000000000000,8173.000000000000000
92,410510037013014,+45.5726912,-122.6712423,24.000000000000000,26381.000000000000000
