OID_,GEOID,INTPTLAT,NAME,COALIT,INTPTLON,COUNT,SUM_SQ_FT
1,410510022033001,+45.5450935,ELIOT,NECN,-122.6600953,26.000000000000000,56040.000000000000000
2,410510018021021,+45.5204488,MT. TABOR,SEUL,-122.6036608,21.000000000000000,133258.000000000000000
3,410510008014000,+45.5049946,RICHMOND,SEUL,-122.6170673,23.000000000000000,29511.000000000000000
4,410510005024012,+45.4806488,MT. SCOTT-ARLETA,SEUL,-122.5854229,30.000000000000000,30080.000000000000000
5,410510037021038,+45.5670910,PIEDMONT,NPNS,-122.6683880,21.000000000000000,22490.000000000000000
6,410510016014002,+45.5146353,MT. TABOR,SEUL,-122.6013056,12.000000000000000,20728.000000000000000
7,410510005014018,+45.4848563,MT. SCOTT-ARLETA,SEUL,-122.5990681,14.000000000000000,17861.000000000000000
8,410510037013020,+45.5708350,PIEDMONT,NPNS,-122.6722959,30.000000000000000,40026.000000000000000
9,410510029032010,+45.5362623,MADISON SOUTH,CNN,-122.5690942,24.000000000000000,28409.000000000000000
10,410510007012011,+45.4993629,SOUTH TABOR,SEUL,-122.5878039,27.000000000000000,29033.000000000000000
11,410510089022006,+45.4620200,LENTS,EPCO,-122.5616019,14.000000000000000,33671.000000000000000
12,410510092043003,+45.5207294,HAZELWOOD,EPCO,-122.5332343,31.000000000000000,83728.000000000000000
13,410510077002018,+45.5539265,SUMNER,CNN,-122.5771435,63.000000000000000,113888.000000000000000
14,410510009012014,+45.4985740,RICHMOND,SEUL,-122.6235055,46.000000000000000,76063.000000000000000
15,410510037014020,+45.5775821,PIEDMONT,NPNS,-122.6735646,27.000000000000000,31177.000000000000000
16,410510034021017,+45.5501677,BOISE,NECN,-122.6659518,11.000000000000000,13829.000000000000000
17,410510038011003,+45.5817183,KENTON,NPNS,-122.6795895,12.000000000000000,12334.000000000000000
18,410510093021003,+45.5324457,HAZELWOOD,EPCO,-122.5357541,44.000000000000000,170464.000000000000000
19,410510013022009,+45.5070115,RICHMOND,SEUL,-122.6266558,29.000000000000000,29318.000000000000000
20,410510005012009,+45.4798671,MT. SCOTT-ARLETA,SEUL,-122.5906042,18.000000000000000,30236.000000000000000
