OID_,gidbk20,intptlat20,intptlon20,DISTRICT
11,410510011011131.000000000000000,45.504723700000000,-122.665295599999993,3
12,410510041042002.000000000000000,45.608126400000003,-122.775713900000000,2
18,410510072021020.000000000000000,45.586963599999997,-122.664360500000001,2
19,410510041033003.000000000000000,45.612679300000003,-122.758480399999996,2
22,410510003024022.000000000000000,45.462612300000004,-122.634311699999998,4
38,410510073001128.000000000000000,45.566861500000002,-122.554456900000005,1
39,410510073001006.000000000000000,45.583613300000003,-122.647780100000006,2
43,410510091023005.000000000000000,45.484572999999997,-122.490736299999995,1
44,410510059032004.000000000000000,45.484507899999997,-122.671704000000005,4
45,410510073001175.000000000000000,45.558183800000002,-122.525868900000006,1
47,410510073001159.000000000000000,45.565467200000001,-122.512962400000006,1
54,410510046012017.000000000000000,45.520089599999999,-122.702169299999994,4
57,410510057022000.000000000000000,45.510432799999997,-122.671263600000003,4
64,410510002012009.000000000000000,45.462690700000003,-122.639428300000006,4
69,410510073001180.000000000000000,45.557876000000000,-122.513181700000004,1
72,410510072021021.000000000000000,45.582963900000003,-122.649820800000001,2
74,410510073001125.000000000000000,45.560026999999998,-122.522471999999993,1
75,410510072023095.000000000000000,45.585714199999998,-122.665705599999995,2
76,410510040023050.000000000000000,45.575629499999998,-122.741877799999997,2
85,410510102003012.000000000000000,45.587826999999997,-122.545842500000006,1
87,410510073001108.000000000000000,45.575397799999998,-122.545553100000006,1
90,410510073001109.000000000000000,45.569978900000002,-122.532041800000002,1
98,410510001021002.000000000000000,45.478076899999998,-122.654263200000003,4
101,410510042003002.000000000000000,45.591942500000002,-122.770278399999995,2
105,410510072023047.000000000000000,45.598519300000000,-122.694091900000004,2
107,410510019003024.000000000000000,45.521309400000000,-122.626683700000001,3
113,410510073001067.000000000000000,45.579369600000000,-122.615496800000003,1
116,410510043001066.000000000000000,45.580766699999998,-122.757837300000006,4
118,410510001021001.000000000000000,45.483172500000002,-122.657881799999998,4
121,410510073001002.000000000000000,45.605359600000000,-122.639084999999994,2
123,410510073001101.000000000000000,45.568548499999999,-122.573175199999994,1
125,410510089022011.000000000000000,45.468181999999999,-122.567975700000005,1
133,410510003024027.000000000000000,45.462297999999997,-122.625370000000004,4
136,410510072023042.000000000000000,45.599138000000004,-122.712635300000002,2
138,410510072023109.000000000000000,45.617612600000001,-122.776847399999994,2
139,410510089032005.000000000000000,45.475734000000003,-122.516507200000007,1
140,410510072023025.000000000000000,45.626229000000002,-122.787987999999999,2
142,410510072023016.000000000000000,45.636551799999999,-122.761406600000001,2
148,410510089031007.000000000000000,45.477797400000000,-122.512816900000004,1
153,410510102003084.000000000000000,45.551346700000003,-122.480920499999996,1
171,410510046012022.000000000000000,45.516152800000000,-122.705384499999994,4
172,410510072023061.000000000000000,45.595400300000001,-122.705980800000006,2
174,410510059032005.000000000000000,45.472636999999999,-122.668385999999998,4
180,410510102003085.000000000000000,45.551378600000000,-122.492078500000005,1
187,410510041023027.000000000000000,45.579887599999999,-122.749946699999995,2
193,410510011011072.000000000000000,45.514961900000003,-122.668892400000004,3
196,410510073001134.000000000000000,45.568119500000002,-122.567769699999999,1
198,410510072023041.000000000000000,45.611017099999998,-122.692957300000003,2
199,410510051032000.000000000000000,45.525233999999998,-122.668624600000001,4
200,410510073001068.000000000000000,45.578260100000001,-122.621197199999997,2
207,410510016014007.000000000000000,45.510489000000000,-122.598701199999994,3
213,410510043001005.000000000000000,45.618733800000001,-122.798884599999994,4
214,410510011011130.000000000000000,45.508719700000000,-122.667794900000004,3
220,410510072023028.000000000000000,45.631621500000001,-122.762329600000001,2
225,410510072012015.000000000000000,45.603367499999997,-122.649863800000006,2
227,410510072021012.000000000000000,45.595762800000003,-122.656208399999997,2
230,410510073001154.000000000000000,45.557977999999999,-122.518705400000002,1
231,410510042003003.000000000000000,45.583673599999997,-122.759536199999999,2
232,410510072023002.000000000000000,45.646836499999999,-122.757488699999996,2
233,410510072023043.000000000000000,45.601814599999997,-122.700798500000005,2
237,410510072023000.000000000000000,45.643054399999997,-122.773391000000004,2
246,410510072012008.000000000000000,45.608477299999997,-122.666707400000007,2
247,410510073001191.000000000000000,45.579680900000000,-122.639584900000003,2
252,410510073001073.000000000000000,45.576878600000001,-122.610701399999996,2
260,410510089033000.000000000000000,45.468848600000001,-122.519210200000003,1
267,410510057011000.000000000000000,45.506732999999997,-122.671057700000006,4
268,410510071001026.000000000000000,45.619296700000000,-122.797961299999997,4
271,410510073001132.000000000000000,45.566712000000003,-122.556140999999997,1
277,410510072023053.000000000000000,45.598164500000003,-122.691671999999997,2
281,410510073001009.000000000000000,45.594298400000000,-122.640638600000003,2
287,410510016014005.000000000000000,45.511253400000001,-122.593022000000005,3
291,410510073001126.000000000000000,45.561171100000003,-122.523356800000002,1
295,410510043001073.000000000000000,45.557630600000003,-122.718559200000001,4
300,410510071001025.000000000000000,45.621520799999999,-122.791856199999998,2
302,410510102003087.000000000000000,45.555373400000001,-122.496026700000002,1
309,410510040021037.000000000000000,45.569546699999997,-122.732851900000000,2
314,410510002012023.000000000000000,45.459864000000003,-122.643528799999999,4
325,410510072023055.000000000000000,45.591749900000003,-122.684518400000002,2
327,410510073001145.000000000000000,45.563933100000000,-122.562235400000006,1
328,410510089021002.000000000000000,45.467859900000001,-122.568884199999999,1
334,410510072023027.000000000000000,45.626013000000000,-122.762488000000005,2
335,410510089023010.000000000000000,45.468438200000001,-122.566558599999993,1
336,410510057011001.000000000000000,45.506039600000001,-122.672545099999994,4
346,410510072023029.000000000000000,45.629777099999998,-122.763094199999998,2
358,410510003024018.000000000000000,45.464597599999998,-122.634270900000004,4
360,410510023031023.000000000000000,45.535836900000000,-122.677800000000005,2
362,410510003024005.000000000000000,45.464767100000003,-122.635966800000006,4
365,410510040021038.000000000000000,45.569621200000000,-122.725556499999996,2
367,410510102003003.000000000000000,45.559954099999999,-122.478475500000002,1
375,410510073001082.000000000000000,45.567913900000001,-122.584385400000002,2
378,410510072021000.000000000000000,45.601970500000000,-122.643996200000004,2
380,410510102003050.000000000000000,45.556322500000000,-122.479240300000001,1
385,410519800001007.000000000000000,45.566632900000002,-122.716061499999995,2
387,410510073001079.000000000000000,45.571028499999997,-122.581567699999994,2
391,410510072021003.000000000000000,45.593702499999999,-122.647111100000004,2
393,410510073001086.000000000000000,45.571924000000003,-122.606185400000001,2
403,410510102003006.000000000000000,45.593465000000002,-122.548007600000005,1
404,410510043001004.000000000000000,45.618442500000000,-122.795879900000003,4
407,410510073001072.000000000000000,45.573673599999999,-122.604312100000001,2
410,410510072011011.000000000000000,45.615919699999999,-122.700736800000001,2
415,410510102003088.000000000000000,45.557443900000003,-122.509039999999999,1
418,410510041033000.000000000000000,45.598240300000001,-122.721735100000004,2
420,410510072023045.000000000000000,45.596152600000003,-122.701630199999997,2
429,410510072023034.000000000000000,45.601076599999999,-122.721387100000001,2
430,410510002012001.000000000000000,45.463514099999998,-122.640490900000003,4
431,410510073001131.000000000000000,45.566702599999999,-122.555397299999996,1
433,410510089042002.000000000000000,45.475552999999998,-122.545259299999998,1
435,410510003012019.000000000000000,45.481881299999998,-122.628715700000001,4
440,410510072021018.000000000000000,45.586596000000000,-122.656095899999997,2
445,410510089023009.000000000000000,45.468556700000001,-122.566862900000004,1
455,410510072012001.000000000000000,45.616277199999999,-122.676291500000005,2
457,410510051033000.000000000000000,45.529534499999997,-122.672170300000005,4
458,410510073001090.000000000000000,45.575244200000000,-122.626575599999995,2
459,410510021012039.000000000000000,45.525169400000003,-122.666900999999996,3
461,410510063001014.000000000000000,45.462855200000000,-122.666646400000005,4
462,410510089042003.000000000000000,45.474668299999998,-122.544818800000002,1
466,410510045001000.000000000000000,45.540858800000002,-122.688527199999996,4
469,410510102003021.000000000000000,45.585052699999999,-122.543600900000001,1
474,410510072021017.000000000000000,45.592447600000000,-122.640660699999998,2
481,410510072023062.000000000000000,45.592475299999997,-122.682168399999995,2
489,410510072012000.000000000000000,45.610868699999997,-122.658877300000000,2
492,410510067012013.000000000000000,45.480392000000002,-122.741142900000000,4
493,410510041033006.000000000000000,45.603551699999997,-122.737916299999995,2
495,410510041033002.000000000000000,45.607857600000003,-122.747346399999998,2
496,410510102003008.000000000000000,45.594027199999999,-122.549184800000006,1
500,410510073001043.000000000000000,45.570465900000002,-122.573204200000006,1
503,410510091023006.000000000000000,45.483838499999997,-122.490848600000007,1
506,410510072023050.000000000000000,45.601892800000002,-122.689167299999994,2
509,410510073001168.000000000000000,45.559801200000003,-122.531684600000006,1
510,410510021012040.000000000000000,45.526739499999998,-122.666670999999994,3
514,410510073001162.000000000000000,45.559127400000001,-122.513790700000001,1
519,410510073001147.000000000000000,45.562770800000003,-122.544637199999997,1
521,410510072021029.000000000000000,45.581846100000000,-122.646603900000002,2
527,410510016014004.000000000000000,45.512125699999999,-122.595772999999994,3
532,410510072022001.000000000000000,45.607036500000000,-122.681658200000001,2
534,410510072023046.000000000000000,45.597474099999999,-122.699243699999997,2
535,410510102003007.000000000000000,45.593678699999998,-122.548517000000004,1
539,410510072023044.000000000000000,45.600206000000000,-122.701426999999995,2
547,410510073001127.000000000000000,45.564465599999998,-122.541857300000004,1
548,410510089031008.000000000000000,45.477828199999998,-122.503494399999994,1
549,410510003012035.000000000000000,45.478637700000000,-122.637021500000003,4
550,410510089023002.000000000000000,45.476032799999999,-122.555062800000002,1
551,410510089023017.000000000000000,45.474554099999999,-122.549285400000002,1
553,410510106022000.000000000000000,45.515650800000003,-122.670921600000000,4
554,410510072011027.000000000000000,45.623710299999999,-122.692491200000006,2
555,410510072023035.000000000000000,45.598134799999997,-122.715293200000005,2
558,410510102003002.000000000000000,45.562641700000000,-122.495921499999994,1
565,410510072023007.000000000000000,45.616487599999999,-122.706668600000000,2
566,410510029023000.000000000000000,45.540640000000003,-122.584116399999999,3
567,410510073001074.000000000000000,45.575356800000002,-122.601794499999997,2
572,410510072023032.000000000000000,45.621043000000000,-122.758633799999998,2
573,410510072023058.000000000000000,45.598177399999997,-122.680006399999996,2
574,410510089031043.000000000000000,45.476126700000002,-122.514620100000002,1
576,410510072023048.000000000000000,45.595314000000002,-122.690768800000001,2
577,410510063001015.000000000000000,45.457498999999999,-122.662316899999993,4
579,410510003012007.000000000000000,45.483252100000001,-122.632743300000001,4
580,410510041042008.000000000000000,45.606589600000000,-122.780597599999993,2
581,410510102003030.000000000000000,45.578723400000001,-122.544049799999996,1
593,410510070011026.000000000000000,45.537214300000002,-122.781193400000006,4
594,410510057011002.000000000000000,45.505983800000003,-122.672351500000005,4
606,410510072023017.000000000000000,45.637897500000001,-122.762449599999997,2
608,410510072023056.000000000000000,45.592657899999999,-122.683026299999995,2
612,410510003024031.000000000000000,45.461626600000002,-122.616547900000000,3
624,410510073001089.000000000000000,45.577191800000001,-122.625240399999996,2
625,410510089031003.000000000000000,45.479237699999999,-122.496085300000004,1
633,410510072011028.000000000000000,45.619766900000002,-122.684411900000001,2
636,410510041042000.000000000000000,45.614365200000002,-122.767953399999996,2
638,410510102003019.000000000000000,45.585168600000003,-122.544590799999995,1
644,410510051013003.000000000000000,45.534599300000004,-122.679093899999998,4
647,410510102003017.000000000000000,45.585457099999999,-122.544156700000002,1
652,410510073001091.000000000000000,45.577562600000000,-122.630117200000001,2
653,410510089023012.000000000000000,45.475457100000000,-122.557283400000003,1
659,410510023031022.000000000000000,45.538551200000001,-122.682376700000006,2
663,410510072012007.000000000000000,45.606138999999999,-122.655726299999998,2
664,410510073001117.000000000000000,45.564581099999998,-122.526756399999996,1
666,410510102003016.000000000000000,45.585783499999998,-122.543863900000005,1
669,410510072023013.000000000000000,45.618034999999999,-122.738524900000002,2
676,410510073001146.000000000000000,45.562963900000000,-122.540212499999996,1
680,410510073001023.000000000000000,45.577921199999999,-122.631845900000002,2
687,410510102003011.000000000000000,45.586652600000001,-122.564452000000003,1
689,410510072023060.000000000000000,45.588868300000001,-122.684123400000004,2
691,410510072023031.000000000000000,45.622176199999998,-122.759227899999999,2
697,410510072023006.000000000000000,45.637033199999998,-122.743981500000004,2
709,410510089032001.000000000000000,45.474985199999999,-122.520109199999993,1
711,410510072023001.000000000000000,45.641413700000001,-122.765767900000000,2
716,410510043001000.000000000000000,45.602851500000000,-122.782180299999993,4
718,410510089023000.000000000000000,45.475460300000002,-122.549901300000002,1
719,410510072011036.000000000000000,45.613841999999998,-122.695498499999999,2
720,410510073001022.000000000000000,45.583815199999997,-122.625535600000006,2
722,410510072023068.000000000000000,45.588318700000002,-122.681028499999996,2
724,410510072022000.000000000000000,45.603838199999998,-122.666927799999996,2
727,410510059023000.000000000000000,45.493035999999996,-122.668413700000002,4
728,410510023031030.000000000000000,45.528042999999997,-122.668070299999997,3
732,410510043001069.000000000000000,45.569413300000001,-122.749150099999994,4
734,410510102003004.000000000000000,45.578371900000000,-122.543730199999999,1
737,410510002011002.000000000000000,45.470489899999997,-122.640690699999993,4
738,410510001013009.000000000000000,45.461951599999999,-122.662226200000006,4
745,410510102003052.000000000000000,45.556226000000002,-122.495607500000006,1
746,410510102003089.000000000000000,45.554523500000002,-122.488080800000006,1
749,410510073001084.000000000000000,45.571468699999997,-122.592941499999995,2
763,410510051013000.000000000000000,45.537410700000002,-122.683748499999993,4
766,410510011011073.000000000000000,45.510792000000002,-122.668697199999997,3
781,410510043001067.000000000000000,45.573037900000003,-122.743007800000001,4
786,410510106021000.000000000000000,45.520332900000000,-122.668961999999993,4
787,410510041033001.000000000000000,45.605990800000001,-122.739565999999996,2
789,410510089023011.000000000000000,45.470594499999997,-122.562430500000005,1
790,410510089023001.000000000000000,45.475009999999997,-122.552574300000003,1
796,410510073001088.000000000000000,45.574743900000001,-122.613393200000004,2
801,410510073001001.000000000000000,45.600484799999997,-122.603134999999995,1
816,410510102003020.000000000000000,45.585101100000003,-122.544046300000005,1
826,410519800001014.000000000000000,45.560478500000002,-122.717923400000004,2
829,410510089043003.000000000000000,45.473244500000000,-122.533762199999998,1
831,410510001024026.000000000000000,45.464650399999996,-122.665139699999997,4
832,410510072023071.000000000000000,45.586866499999999,-122.674226500000003,2
836,410519800001015.000000000000000,45.546880600000001,-122.692692300000004,2
838,410510072021028.000000000000000,45.576700600000002,-122.634055599999996,2
846,410510072021001.000000000000000,45.601791599999999,-122.648527200000004,2
854,410510072012014.000000000000000,45.608834000000002,-122.680660200000005,2
858,410510073001113.000000000000000,45.568428599999997,-122.541859099999996,1
869,410510002012025.000000000000000,45.462374300000000,-122.637825300000003,4
875,410510073001190.000000000000000,45.582354000000002,-122.645874699999993,2
877,410510073001071.000000000000000,45.574022999999997,-122.599504100000004,2
883,410510089043004.000000000000000,45.473397200000001,-122.528747899999999,1
887,410510021011038.000000000000000,45.520250300000001,-122.667296199999996,3
888,410510057011034.000000000000000,45.504381799999997,-122.667803699999993,4
895,410510086002022.000000000000000,45.462234700000003,-122.580504500000004,3
903,410510073001133.000000000000000,45.568369300000001,-122.566079500000001,1
906,410510072023030.000000000000000,45.628094300000001,-122.763219899999996,2
913,410510007024011.000000000000000,45.494826699999997,-122.598635799999997,3
915,410510070023017.000000000000000,45.588328500000003,-122.808233400000006,4
916,410510003011007.000000000000000,45.487779600000003,-122.623739900000004,4
917,410510037014018.000000000000000,45.576856499999998,-122.671746299999995,2
919,410510001022002.000000000000000,45.473271099999998,-122.652060800000001,4
921,410510072023008.000000000000000,45.626724600000003,-122.733196599999999,2
922,410510065012023.000000000000000,45.452347899999999,-122.739999499999996,4
923,410510039031034.000000000000000,45.579489100000004,-122.710715199999996,2
924,410510025013003.000000000000000,45.541046999999999,-122.633644799999999,2
925,410510031004023.000000000000000,45.548845100000001,-122.640591700000002,2
927,410510046012023.000000000000000,45.516136600000003,-122.711590900000004,4
929,410510030002013.000000000000000,45.555951000000000,-122.628131999999994,2
933,410510033022032.000000000000000,45.548881299999998,-122.659118199999995,2
934,410510018011018.000000000000000,45.527735900000003,-122.598135200000002,3
936,410510001023014.000000000000000,45.465392000000001,-122.652001499999997,4
939,410510014002015.000000000000000,45.513097100000003,-122.618998700000006,3
940,410510056013007.000000000000000,45.514210900000002,-122.681820000000002,4
941,410510095011012.000000000000000,45.547102600000002,-122.514588200000006,1
943,410510025015010.000000000000000,45.542844700000003,-122.644752400000002,2
944,410510076001017.000000000000000,45.556487500000003,-122.579290299999997,2
946,410510001021017.000000000000000,45.479689100000002,-122.650064599999993,4
953,410510047001001.000000000000000,45.535043000000002,-122.703821500000004,4
961,410510026001019.000000000000000,45.545332000000002,-122.629166499999997,2
962,410510064033006.000000000000000,45.444554400000001,-122.729459500000004,4
966,410510024022002.000000000000000,45.534672800000003,-122.649976100000003,2
967,410510001022007.000000000000000,45.471907399999999,-122.650810199999995,4
968,410510004012011.000000000000000,45.483072800000002,-122.610251300000002,3
969,410510018013002.000000000000000,45.526036099999999,-122.606937400000007,3
971,410510025016015.000000000000000,45.545929000000001,-122.639589000000001,2
976,410510083021003.000000000000000,45.503421299999999,-122.553102100000004,1
977,410510005025017.000000000000000,45.487702200000001,-122.586590200000003,3
987,410510065012037.000000000000000,45.443565999999997,-122.742196500000006,4
990,410510106022063.000000000000000,45.514999699999997,-122.679062000000002,4
995,410510037012023.000000000000000,45.570863799999998,-122.667850000000001,2
996,410510038012003.000000000000000,45.582035699999999,-122.683414700000000,2
997,410510003022009.000000000000000,45.478092799999999,-122.620058599999993,3
999,410510041033020.000000000000000,45.597011999999999,-122.733638700000000,2
1000,410510051022001.000000000000000,45.529364100000002,-122.682863200000000,4
1003,410510008011014.000000000000000,45.500842100000000,-122.604555199999993,3
1004,410510091011009.000000000000000,45.501020699999998,-122.515775300000001,1
1008,410510092021001.000000000000000,45.522359999999999,-122.518985599999993,1
1009,410510046021015.000000000000000,45.513396299999997,-122.697577100000004,4
1011,410510064042018.000000000000000,45.436460300000000,-122.739802800000007,4
1012,410510037014023.000000000000000,45.576151000000003,-122.673786500000006,2
1016,410510002012024.000000000000000,45.459809399999997,-122.641778200000005,4
1017,410510007024001.000000000000000,45.496577899999998,-122.597073100000003,3
1018,410510041024023.000000000000000,45.591310300000004,-122.747869300000005,2
1019,410510046021026.000000000000000,45.510848400000000,-122.697762299999994,4
1020,410510028023010.000000000000000,45.532625000000003,-122.608191500000004,3
1021,410510093022003.000000000000000,45.528941500000002,-122.527694699999998,1
1022,410510011021024.000000000000000,45.506914600000002,-122.650018299999999,3
1023,410510088002001.000000000000000,45.466327700000001,-122.598684000000006,3
1025,410510002021019.000000000000000,45.482513800000000,-122.647918300000001,4
1028,410510046022011.000000000000000,45.515935700000000,-122.698467300000004,4
1029,410510003026010.000000000000000,45.474201999999998,-122.633890899999997,4
1030,410510092023014.000000000000000,45.509151199999998,-122.516293300000001,1
1032,410510040034010.000000000000000,45.584271200000003,-122.714970100000002,2
